Sector,Partner,Required,Receive,Percentage,Quarter,Year,Gap,Reported
Basic Needs,UNHCR,97851431,8989472,9%, First Quarter ,2015,88861959,yes
Basic Needs,UNICEF,31500000,6547279,21%, First Quarter ,2015,24952721,yes
Basic Needs,NRC,6000000,1082222,18%, First Quarter ,2015,4917778,yes
Basic Needs,SCI,5940000,2121834,36%, First Quarter ,2015,3818166,yes
Basic Needs,Caritas,5845690,0,0%, First Quarter ,2015,5845690,yes
Basic Needs,NEF,5520000,0,0%, First Quarter ,2015,5520000,yes
Basic Needs,ACF,3872600,249366,6%, First Quarter ,2015,3623234,yes
Basic Needs,OXFAM,3304445,0,0%, First Quarter ,2015,3304445,yes
Basic Needs,IRC,1974564,744419,38%, First Quarter ,2015,1230145,yes
Basic Needs,JHAS,1784640,0,0%, First Quarter ,2015,1784640,yes
Basic Needs,MEDAIR,1727924,259041,15%, First Quarter ,2015,1468883,yes
Basic Needs,HI,1494000,994350,67%, First Quarter ,2015,499650,yes
Basic Needs,LWF,1300000,362000,28%, First Quarter ,2015,938000,yes
Basic Needs,ICMC,1191632,373311,31%, First Quarter ,2015,818321,yes
Basic Needs,CARE,1081976,2000000,185%, First Quarter ,2015,-918024,yes
Basic Needs,PU-AMI,1072500,270874,25%, First Quarter ,2015,801626,yes
Basic Needs,WVI,820000,0,0%, First Quarter ,2015,820000,yes
Basic Needs,AVSI,790000,0,0%, First Quarter ,2015,790000,yes
Basic Needs,Intersos,777000,0,0%, First Quarter ,2015,777000,yes
Basic Needs,ActionAid,600280,245624,41%, First Quarter ,2015,354656,yes
Basic Needs,NICCOD,354200,366979,104%, First Quarter ,2015,-12779,yes
Basic Needs,JEN,300000,0,0%, First Quarter ,2015,300000,yes
Food,WFP,232471740,36820149,16%, First Quarter ,2015,195651591,yes
Food,Caritas,1355932,0,0%, First Quarter ,2015,1355932,yes
Food,FAO,1300000,950000,73%, First Quarter ,2015,350000,yes
Food,WVI,799996,291682,36%, First Quarter ,2015,508314,yes
Food,ACTED,235900,0,0%, First Quarter ,2015,235900,yes
Food,FPSC,150000,0,0%, First Quarter ,2015,150000,yes
Food,IR,37836,0,0%, First Quarter ,2015,37836,yes
Food,UNFPA,28000,0,0%, First Quarter ,2015,28000,yes
Food,Un Women,25000,0,0%, First Quarter ,2015,25000,yes
Education,UNICEF,42354500,5200154,12%, First Quarter ,2015,37154346,yes
Education,SCI,11413738,8918648,78%, First Quarter ,2015,2495090,yes
Education,NRC,3819000,3174211,83%, First Quarter ,2015,644789,yes
Education,Caritas,3334635,0,0%, First Quarter ,2015,3334635,yes
Education,UNHCR,3098087,91497,3%, First Quarter ,2015,3006590,yes
Education,FCA,2769760,500000,18%, First Quarter ,2015,2269760,yes
Education,UNESCO,2350000,0,0%, First Quarter ,2015,2350000,yes
Education,IR,2276730,0,0%, First Quarter ,2015,2276730,yes
Education,WVI,1950000,539917,28%, First Quarter ,2015,1410083,yes
Education,RI,1000000,0,0%, First Quarter ,2015,1000000,yes
Education,LWF,740000,342000,46%, First Quarter ,2015,398000,yes
Education,Intersos,732000,0,0%, First Quarter ,2015,732000,yes
Education,WarChild UK,645000,110000,17%, First Quarter ,2015,535000,yes
Education,DRC,562358,0,0%, First Quarter ,2015,562358,yes
Education,JEN,500500,384980,77%, First Quarter ,2015,115520,yes
Education,FPSC,500000,0,0%, First Quarter ,2015,500000,yes
Education,KnK,454400,881352,194%, First Quarter ,2015,-426952,yes
Education,ICSC,449995,0,0%, First Quarter ,2015,449995,yes
Education,Questcope,270700,0,0%, First Quarter ,2015,270700,yes
Education,OXFAM,270000,0,0%, First Quarter ,2015,270000,yes
Education,ActionAid,269200,71566,27%, First Quarter ,2015,197634,yes
Education,ACTED,225000,0,0%, First Quarter ,2015,225000,yes
Education,AVSI,207500,0,0%, First Quarter ,2015,207500,yes
Education,ICMC,195667,15624,8%, First Quarter ,2015,180043,yes
Education,MECI,169000,0,0%, First Quarter ,2015,169000,yes
WASH,UNICEF,43350000,19568218,45%, First Quarter ,2015,23781782,yes
WASH,UNHCR,10196998,301151,3%, First Quarter ,2015,9895847,yes
WASH,OXFAM,9454656,997750,11%, First Quarter ,2015,8456906,yes
WASH,Mercy Corps,5000000,0,0%, First Quarter ,2015,5000000,yes
WASH,ACTED,3761000,0,0%, First Quarter ,2015,3761000,yes
WASH,RI,1687500,0,0%, First Quarter ,2015,1687500,yes
WASH,WVI,1310000,0,0%, First Quarter ,2015,1310000,yes
WASH,IRD,1190000,0,0%, First Quarter ,2015,1190000,yes
WASH,JEN,653198,890693,136%, First Quarter ,2015,-237495,yes
WASH,Caritas,532635,0,0%, First Quarter ,2015,532635,yes
