Date,MatchType,Player,RunsScored,6s,4s,50s,100s,Overs,RunsConceded,Wickets,Wides,NoBalls,Catches
29/05/2015,Domestic,Khalid,0,0,0,0,0,2,8,1,0,0,0
29/05/2015,Domestic,Mahjoob,23,0,1,0,0,0,0,0,0,0,0
29/05/2015,Domestic,Shakir,72,5,8,1,0,4,46,1,9,1,1
29/05/2015,Domestic,Aleem,18,2,0,0,0,0,0,0,0,0,1
29/05/2015,Domestic,Majid,32,2,3,0,0,5,45,9,0,0,0
29/05/2015,Domestic,Asim Khan,18,1,2,0,0,0,0,0,0,0,1
29/05/2015,Domestic,Mehtab,8,1,0,0,0,5,49,1,6,0,0
29/05/2015,Domestic,Waqas,2,0,0,0,0,3,11,3,2,0,0
29/05/2015,Domestic,Hamza,0,0,0,0,0,0,0,0,0,0,0
29/05/2015,Domestic,Nouman,6,0,0,0,0,0,0,0,0,0,0
29/05/2015,Domestic,Junaid,12,0,1,0,0,0,0,0,0,0,0
29/05/2015,Domestic,Zubair,17,2,0,0,0,2,19,1,4,1,0
29/05/2015,Domestic,Omer,2,0,0,0,0,5,40,1,2,0,0
29/05/2015,Domestic,Iqbal,6,0,0,0,0,3,40,0,2,1,0
29/05/2015,Domestic,Adnan,60,6,3,0,0,5,22,4,0,0,2
29/05/2015,Domestic,Imran,6,0,0,0,0,0,0,0,0,0,0
29/05/2015,Domestic,Asim Manzoor,22,1,3,0,0,3,33,0,0,0,0
29/05/2015,Domestic,Kaleem,3,0,0,0,0,2,31,0,1,0,0
